#  Table WFC3.IR.G141.1st.sens.2.fits[1]  Tue 03:23:23 11-Jan-2011

# row      WAVELENGTH     SENSITIVITY           ERROR
#                                                    

    1           9950.              0.              0.
    2           9951.              0.              0.
    3           9952.              0.              0.
    4           9953.     2.823868E13     1.615906E13
    5           9954.     2.846627E13     1.638734E13
    6           9955.     2.869518E13     1.661796E13
    7           9956.     2.892540E13     1.685092E13
    8           9957.     2.915694E13     1.708623E13
    9           9958.     2.938979E13     1.732392E13
   10           9959.     2.962396E13     1.756399E13
   11           9960.     2.985945E13     1.780646E13
   12           9961.     3.008741E13     1.805274E13
   13           9962.     3.030730E13     1.830257E13
   14           9963.     3.052775E13     1.855446E13
   15           9964.     3.074876E13     1.880840E13
   16           9965.     3.097034E13     1.906441E13
   17           9966.     3.119248E13     1.932250E13
   18           9967.     3.141518E13     1.958266E13
   19           9968.     3.163846E13     1.984491E13
   20           9969.     3.186229E13     2.010925E13
   21           9970.     3.208668E13     2.037569E13
   22           9971.     3.231165E13     2.064425E13
   23           9972.     3.253717E13     2.091491E13
   24           9973.     3.276325E13     2.118768E13
   25           9974.     3.298991E13     2.146260E13
   26           9975.     3.321713E13     2.173963E13
   27           9976.     3.344491E13     2.201881E13
   28           9977.     3.367325E13     2.230014E13
   29           9978.     3.390216E13     2.258361E13
   30           9979.     3.413163E13     2.286925E13
   31           9980.     3.436167E13     2.315705E13
   32           9981.     3.459227E13     2.344702E13
   33           9982.     3.482343E13     2.373917E13
   34           9983.     3.505516E13     2.403350E13
   35           9984.     3.528745E13     2.433003E13
   36           9985.     3.552031E13     2.462876E13
   37           9986.     3.575373E13     2.492969E13
   38           9987.     3.598771E13     2.523283E13
   39           9988.     3.622225E13     2.553819E13
   40           9989.     3.645737E13     2.584578E13
   41           9990.     3.669305E13     2.615559E13
   42           9991.     3.692928E13     2.646764E13
   43           9992.     3.716608E13     2.678194E13
   44           9993.     3.740345E13     2.709849E13
   45           9994.     3.764138E13     2.741729E13
   46           9995.     3.787988E13     2.773837E13
   47           9996.     3.811894E13     2.806171E13
   48           9997.     3.835856E13     2.838732E13
   49           9998.     3.859875E13     2.871523E13
   50           9999.     3.883950E13     2.904542E13
   51          10000.     3.908081E13     2.937791E13
   52          10001.     3.932269E13     2.971270E13
   53          10002.     3.956513E13     3.004980E13
   54          10003.     3.980814E13     3.038922E13
   55          10004.     4.005170E13     3.073096E13
   56          10005.     4.029584E13     3.107504E13
   57          10006.     4.054054E13     3.142145E13
   58          10007.     4.078580E13     3.177020E13
   59          10008.     4.098733E13     3.201994E13
   60          10009.     4.118756E13     3.226958E13
   61          10010.     4.138649E13     3.251911E13
   62          10011.     4.158413E13     3.276851E13
   63          10012.     4.178045E13     3.301777E13
   64          10013.     4.197547E13     3.326689E13
   65          10014.     4.216921E13     3.351586E13
   66          10015.     4.236163E13     3.376467E13
   67          10016.     4.255275E13     3.401331E13
   68          10017.     4.274258E13     3.426177E13
   69          10018.     4.293110E13     3.451005E13
   70          10019.     4.311832E13     3.475814E13
   71          10020.     4.330424E13     3.500602E13
   72          10021.     4.348886E13     3.525368E13
   73          10022.     4.367218E13     3.550112E13
   74          10023.     4.385419E13     3.574833E13
   75          10024.     4.403491E13     3.599530E13
   76          10025.     4.421432E13     3.624202E13
   77          10026.     4.439244E13     3.648849E13
   78          10027.     4.456925E13     3.673470E13
   79          10028.     4.474476E13     3.698062E13
   80          10029.     4.491897E13     3.722626E13
   81          10030.     4.509188E13     3.747161E13
   82          10031.     4.526349E13     3.771665E13
   83          10032.     4.543380E13     3.796139E13
   84          10033.     4.560281E13     3.820581E13
   85          10034.     4.577051E13     3.844990E13
   86          10035.     4.593692E13     3.869365E13
   87          10036.     4.610202E13     3.893706E13
   88          10037.     4.626582E13     3.918011E13
   89          10038.     4.642832E13     3.942280E13
   90          10039.     4.658952E13     3.966512E13
   91          10040.     4.674942E13     3.990706E13
   92          10041.     4.690802E13     4.014860E13
   93          10042.     4.706532E13     4.038975E13
   94          10043.     4.722131E13     4.063049E13
   95          10044.     4.737601E13     4.087081E13
   96          10045.     4.752940E13     4.111071E13
   97          10046.     4.768149E13     4.135018E13
   98          10047.     4.783229E13     4.158920E13
   99          10048.     4.798178E13     4.182777E13
  100          10049.     4.812997E13     4.206588E13
  101          10050.     4.827686E13     4.230352E13
  102          10051.     4.842244E13     4.254068E13
  103          10052.     4.856673E13     4.277736E13
  104          10053.     4.870971E13     4.301354E13
  105          10054.     4.884473E13     4.319276E13
  106          10055.     4.897136E13     4.331421E13
  107          10056.     4.909612E13     4.343405E13
  108          10057.     4.921902E13     4.355229E13
  109          10058.     4.934005E13     4.366892E13
  110          10059.     4.945920E13     4.378395E13
  111          10060.     4.957649E13     4.389736E13
  112          10061.     4.969191E13     4.400917E13
  113          10062.     4.980546E13     4.411937E13
  114          10063.     4.991714E13     4.422795E13
  115          10064.     5.002696E13     4.433493E13
  116          10065.     5.013490E13     4.444028E13
